Analysis_Type,Total_Posts,Positive_%,Negative_%,Neutral_%,Avg_Polarity,Avg_Upvotes
Dhaka-Focused Posts,431,39.443155452436194,5.104408352668213,55.4524361948956,0.09057658666113458,22.366589327146173
General Bangladesh Posts,1423,16.444132115249474,5.692199578355587,77.86366830639494,0.058985359445938454,12.797610681658467
All Posts,1854,42.93419633225459,6.903991370010787,50.161812297734635,0.10250325362604741,15.022114347357066
